Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Домодедовская;1;37;18;20;Нет аукциона;12 000 000;Реквизиты не проверены
Люблино;1;32;2;5;Нет аукциона;8 500 000;Документы проверены
Аннино;2;42;3;5;Нет аукциона;7 350 000;Реквизиты не проверены
Октябрьская;5;63;2;6;Аукцион;от 21 924 000;Реквизиты проверены
Митино;2;49,7;3;9;Нет аукциона;11 400 000;Реквизиты проверены
Белокаменная;1;30,2;9;9;Нет аукциона;11 000 000;Реквизиты не проверены
Бунинская аллея;4;120;9;9;Нет аукциона;25 000 000;Реквизиты проверены
Профсоюзная;4;145,7;17;24;Нет аукциона;57 900 000;Реквизиты проверены
Щёлковская;1;30,2;3;9;Нет аукциона;7 900 000;Реквизиты проверены
Волжская;2;37;3;9;Нет аукциона;9 700 000;Документы проверены
Свиблово;2;51,3;9;14;Нет аукциона;17 500 000;Реквизиты проверены
Народное Ополчение;2;39;3;28;Нет аукциона;24 950 000;Экологический вклад -289 кг CO₂
Лихоборы;3;58,7;1;9;Нет аукциона;11 999 000;Реквизиты проверены
Улица Скобелевская;2;59,2;12;25;Нет аукциона;9 990 000;Документы проверены
Улица Скобелевская;3;78,4;11;17;Нет аукциона;14 250 000;Реквизиты не проверены
Сходненская;2;44,7;2;9;Нет аукциона;10 600 000;Реквизиты не проверены
Алтуфьево;1;37,7;5;17;Нет аукциона;10 000 000;Реквизиты не проверены
Кунцевская;1;30,2;4;5;Нет аукциона;11 350 000;Экологический вклад -6190 кг CO₂
Бутырская;1;34;1;9;Нет аукциона;9 900 000;Документы проверены
ВДНХ;1;17,5;2;8;Нет аукциона;4 202 000;Реквизиты проверены
Беломорская;2;52,4;4;22;Нет аукциона;16 700 000;Экологический вклад -9 кг CO₂
Багратионовская;2;55,9;3;5;Нет аукциона;23 000 000;Документы проверены
Алтуфьево;3;82;6;14;Нет аукциона;18 900 000;Реквизиты проверены
Щёлковская;1;32;2;9;Нет аукциона;7 950 000;Экологический вклад -390 кг CO₂
Беляево;1;17,7;6;15;Нет аукциона;7 900 000;Реквизиты проверены
Филёвский парк;1;44,6;6;9;Нет аукциона;8 300 000;Реквизиты не проверены
Молодёжная;1;31,5;6;9;Нет аукциона;10 900 000;Реквизиты не проверены
Солнцево;1;38;9;12;Нет аукциона;8 800 000;Реквизиты проверены
Орехово;2;57,3;5;17;Нет аукциона;12 000 000;Реквизиты не проверены
Дмитровская;4;101;1;1;Нет аукциона;25 999 999;Документы проверены
Перово;1;30;5;5;Нет аукциона;8 900 000;Документы проверены
Нахимовский проспект;3;75;16;17;Нет аукциона;19 200 000;Реквизиты не проверены
Кантемировская;2;42,1;1;9;Нет аукциона;10 500 000;Реквизиты не проверены
Семёновская;2;47;4;8;Нет аукциона;12 300 000;Документы проверены
Говорово;1;32,6;3;9;Нет аукциона;9 000 000;Реквизиты не проверены
Царицыно;1;34,7;12;12;Нет аукциона;7 400 000;Реквизиты проверены
Давыдково;2;47;7;14;Нет аукциона;13 990 000;Документы проверены
Выхино;1;34,6;11;12;Нет аукциона;5 500 000;Реквизиты не проверены
Кузьминки;1;37,5;7;9;Нет аукциона;11 500 000;Документы проверены
Новогиреево;3;60,8;3;9;Нет аукциона;11 000 000;Реквизиты проверены
Улица Скобелевская;1;33,5;21;25;Нет аукциона;6 490 000;Реквизиты не проверены
Юго-Восточная;3;70;10;16;Нет аукциона;14 990 000;Документы проверены
Народное Ополчение;2;65,5;2;5;Нет аукциона;16 200 000;Экологический вклад -58 кг CO₂
Селигерская;2;44,7;8;9;Нет аукциона;9 190 000;Реквизиты не проверены
Домодедовская;1;35,2;2;12;Нет аукциона;7 950 000;Реквизиты не проверены
Кутузовская;3;83;5;9;Нет аукциона;31 000 000;Реквизиты проверены
Зябликово;3;64;7;9;Нет аукциона;12 500 000;Реквизиты проверены
Отрадное;1;37,8;3;17;Нет аукциона;13 700 000;Реквизиты не проверены
