Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Некрасовка;1;38;11;19;Нет аукциона;8 750 000;Документы проверены
Тверская;4;120;5;5;Нет аукциона;72 970 000;Реквизиты проверены
Чистые пруды;2;53,8;1;5;Нет аукциона;25 600 000;Реквизиты проверены
Парк культуры;3;73;5;6;Нет аукциона;51 000 000;Реквизиты не проверены
Алексеевская;2;43;6;9;Нет аукциона;14 400 000;Экологический вклад -16 кг CO₂
Петровский парк;1;40;4;14;Нет аукциона;12 800 000;Реквизиты не проверены
Бульвар Рокоссовского;1;30,3;1;9;Нет аукциона;7 500 000;Документы проверены
Молодёжная;1;37,6;7;17;Нет аукциона;7 850 000;Реквизиты не проверены
Рассказовка;2;47;11;11;Нет аукциона;14 200 000;Документы проверены
Некрасовка;2;65;25;25;Нет аукциона;11 700 000;Реквизиты проверены
Новогиреево;3;75,5;2;14;Нет аукциона;16 700 000;Реквизиты проверены
р-н Северный;2;54;1;2;Нет аукциона;14 000 000;Документы проверены
Улица Горчакова;4;93,1;3;10;Нет аукциона;17 450 000;Документы проверены
Арбатская;4;137;4;5;Нет аукциона;175 000 000;Реквизиты проверены
Улица Старокачаловская;1;33,3;3;24;Нет аукциона;7 300 000;Экологический вклад -81 кг CO₂
Братиславская;1;31,7;6;25;Нет аукциона;9 400 000;Документы проверены
Бауманская;4;110;8;12;Нет аукциона;36 500 000;Реквизиты не проверены
Кунцевская;2;35,1;7;9;Нет аукциона;9 500 000;Реквизиты проверены
Войковская;2;78,7;8;16;Нет аукциона;24 500 000;Документы проверены
Бабушкинская;3;73,7;20;22;Нет аукциона;14 497 000;Реквизиты не проверены
Крылатское;3;69;8;14;Нет аукциона;19 200 000;Реквизиты проверены
Лефортово;1;36,4;13;23;Нет аукциона;9 166 000;Реквизиты проверены
Митино;5;156;3;4;Нет аукциона;52 000 000;Реквизиты проверены
Некрасовка;1;38,1;5;17;Нет аукциона;8 300 000;Реквизиты проверены
Давыдково;2;53,5;5;23;Нет аукциона;25 500 000;Реквизиты не проверены
Домодедовская;1;35;1;12;Нет аукциона;7 800 000;Экологический вклад -344 кг CO₂
Бунинская аллея;2;46,3;2;9;Нет аукциона;10 200 000;Документы проверены
Пятницкое шоссе;1;56;2;5;Нет аукциона;17 000 000;Экологический вклад -151 кг CO₂
Митино;1;36,7;14;17;Нет аукциона;10 150 000;Реквизиты не проверены
Хорошёво;2;59,6;2;5;Нет аукциона;14 700 000;Реквизиты не проверены
Верхние Лихоборы;1;38,6;4;24;Нет аукциона;14 900 000;Реквизиты не проверены
Улица академика Янгеля;2;44,7;4;9;Нет аукциона;9 900 000;Реквизиты проверены
Кожуховская;2;59;8;8;Нет аукциона;15 500 000;Реквизиты не проверены
Парк Победы;2;81;3;12;Нет аукциона;35 950 000;Экологический вклад -962 кг CO₂
Борисово;3;75;9;17;Нет аукциона;17 250 000;Реквизиты не проверены
Народное Ополчение;1;30,3;5;5;Нет аукциона;9 400 000;Реквизиты проверены
Царицыно;1;32,5;8;9;Нет аукциона;7 700 000;Реквизиты проверены
Тимирязевская;1;34,8;1;12;Нет аукциона;8 500 000;Реквизиты проверены
Улица Старокачаловская;2;60,9;6;17;Нет аукциона;10 000 000;Реквизиты проверены
Новые Черёмушки;6;135;19;22;Нет аукциона;42 000 000;Реквизиты не проверены
Сходненская;2;51,5;8;12;Нет аукциона;10 500 000;Реквизиты не проверены
Комсомольская;3;83,1;9;9;Нет аукциона;26 900 000;Реквизиты не проверены
Новые Черёмушки;1;37,9;3;17;Нет аукциона;14 999 999;Документы проверены
Юго-Восточная;3;56,8;8;9;Нет аукциона;10 699 000;Реквизиты не проверены
Боровское шоссе;2;53,3;8;17;Нет аукциона;14 000 000;Экологический вклад -34 кг CO₂
Тверская;4;120;5;5;Нет аукциона;72 970 000;Реквизиты проверены
Чистые пруды;2;53,8;1;5;Нет аукциона;25 600 000;Реквизиты проверены
Парк культуры;3;73;5;6;Нет аукциона;51 000 000;Реквизиты не проверены
Алексеевская;2;43;6;9;Нет аукциона;14 400 000;Экологический вклад -16 кг CO₂
