Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Щёлковская;1;38,3;7;16;Нет аукциона;10 700 000;Реквизиты не проверены
Беломорская;1;32,5;8;9;Нет аукциона;9 200 000;Документы проверены
Рассказовка;1;38,6;2;17;Нет аукциона;10 400 000;Документы проверены
Бульвар Рокоссовского;3;74,3;4;17;Нет аукциона;18 900 000;Экологический вклад -5 кг CO₂
Царицыно;1;38;2;17;Нет аукциона;10 180 000;Экологический вклад -15 кг CO₂
Улица 1905 года;3;63,9;1;6;Нет аукциона;20 200 000;Экологический вклад -9590 кг CO₂
Стрешнево;1;61;13;23;Нет аукциона;21 000 000;Документы проверены
Шелепиха;3;83;2;21;Нет аукциона;26 850 000;Экологический вклад -8 кг CO₂
Улица Скобелевская;2;69,9;7;10;Нет аукциона;16 299 000;Документы проверены
Крылатское;3;74,3;2;17;Нет аукциона;20 600 000;Реквизиты не проверены
Юго-Западная;2;37,7;3;14;Нет аукциона;12 500 000;Реквизиты не проверены
Раменки;2;54,4;17;17;Нет аукциона;19 700 000;Реквизиты не проверены
Красногвардейская;3;50,5;4;9;Нет аукциона;12 000 000;Документы проверены
Шипиловская;3;64,8;1;12;Нет аукциона;14 000 000;Реквизиты проверены
Третьяковская;4;133;1;4;Нет аукциона;69 990 000;Реквизиты проверены
Сокольники;3;70,9;2;5;Нет аукциона;31 000 000;Экологический вклад -395 кг CO₂
Дубровка;1;40;9;14;Нет аукциона;13 300 000;Экологический вклад -35 кг CO₂
Маяковская;3;120;3;7;Нет аукциона;65 000 000;Реквизиты проверены
Алма-Атинская;2;37,4;11;25;Нет аукциона;10 350 000;Реквизиты не проверены
Некрасовка;3;91;6;25;Нет аукциона;19 600 000;Реквизиты не проверены
Севастопольская;2;45;2;5;Нет аукциона;14 500 000;Документы проверены
Зюзино;2;84;5;31;Нет аукциона;35 950 000;Реквизиты не проверены
Молодёжная;2;45;2;10;Нет аукциона;12 500 000;Документы проверены
Саларьево;2;41,8;14;15;Нет аукциона;12 300 000;Реквизиты не проверены
Шаболовская;3;56,1;4;5;Нет аукциона;21 500 000;Документы проверены
Филатов луг;3;78,1;9;12;Нет аукциона;18 200 000;Реквизиты не проверены
Бульвар Рокоссовского;3;95,7;19;30;Нет аукциона;34 500 000;Документы проверены
Улица Старокачаловская;1;36,9;1;17;Нет аукциона;7 500 000;Реквизиты проверены
Третьяковская;2;88,7;3;6;Нет аукциона;47 500 000;Реквизиты проверены
Нагорная;2;58;3;8;Нет аукциона;15 800 000;Экологический вклад -73 кг CO₂
Улица Скобелевская;3;77,2;9;17;Нет аукциона;13 000 000;Документы проверены
Белокаменная;3;58;5;5;Нет аукциона;15 550 000;Реквизиты не проверены
Минская;1;35;3;12;Нет аукциона;11 500 000;Реквизиты не проверены
Минская;1;30;4;5;Нет аукциона;9 410 000;Реквизиты проверены
Лухмановская;1;37,6;5;12;Нет аукциона;9 400 000;Реквизиты не проверены
Народное Ополчение;2;52,5;24;24;Нет аукциона;17 900 000;Документы проверены
Белокаменная;3;64,9;9;16;Нет аукциона;17 600 000;Реквизиты не проверены
Медведково;1;32,3;12;17;Нет аукциона;7 000 000;Реквизиты не проверены
Шоссе Энтузиастов;3;71,4;2;5;Нет аукциона;24 000 000;Документы проверены
Авиамоторная;2;66;9;10;Нет аукциона;20 999 000;Реквизиты не проверены
Свиблово;3;73;10;17;Нет аукциона;24 000 000;Реквизиты не проверены
Рассказовка;1;37,9;13;17;Нет аукциона;10 100 000;Реквизиты проверены
Новогиреево;3;57,5;4;9;Нет аукциона;12 500 000;Реквизиты проверены
ЦСКА;3;84;6;41;Нет аукциона;40 000 000;Реквизиты проверены
Беляево;4;156;21;23;Нет аукциона;55 000 000;Реквизиты не проверены
Зюзино;2;37,6;5;12;Нет аукциона;13 300 000;Документы проверены
Текстильщики;3;64,4;4;9;Нет аукциона;17 990 000;Реквизиты не проверены
Улица Старокачаловская;1;34,9;4;24;Нет аукциона;7 100 000;Реквизиты не проверены
Новопеределкино;2;62,6;7;23;Нет аукциона;17 600 000;Документы проверены
Улица Скобелевская;1;39,4;14;25;Нет аукциона;7 450 000;Реквизиты не проверены
