Metro; Number of Rooms; Square; Current Floor; Total Floors; Auction; Price; Requisites Checked
Некрасовка;2;60,1;9;25;Аукцион;от 8 500 000;Реквизиты не проверены
Кантемировская;2;42,1;1;9;Нет аукциона;10 500 000;Реквизиты не проверены
Бабушкинская;1;38;7;16;Нет аукциона;8 500 000;Реквизиты не проверены
Перово;1;30;5;5;Нет аукциона;8 900 000;Документы проверены
Домодедовская;1;35;7;9;Нет аукциона;8 100 000;Реквизиты не проверены
Царицыно;1;41;5;12;Нет аукциона;8 700 000;Реквизиты не проверены
Лефортово;1;36,4;13;23;Нет аукциона;9 166 000;Реквизиты проверены
Ростокино;2;43;1;5;Нет аукциона;10 780 000;Экологический вклад -12 кг CO₂
Улица Дмитриевского;3;82,1;2;13;Нет аукциона;14 581 000;Реквизиты не проверены
Университет;2;58,8;4;9;Нет аукциона;20 000 000;Реквизиты не проверены
Марьино;1;36,7;5;24;Нет аукциона;11 500 000;Реквизиты проверены
Коммунарка;2;65,6;8;18;Нет аукциона;14 800 000;Экологический вклад -5 кг CO₂
Улица Скобелевская;1;37,8;16;17;Нет аукциона;7 750 000;Экологический вклад -436 кг CO₂
Боровское шоссе;2;52,8;15;17;Нет аукциона;12 800 000;Реквизиты не проверены
Домодедовская;2;68;5;10;Нет аукциона;20 500 000;Реквизиты не проверены
Бауманская;2;52;11;12;Нет аукциона;16 500 000;Реквизиты проверены
Чеховская;2;53,1;8;11;Нет аукциона;28 000 000;Документы проверены
Щёлковская;1;32;2;9;Нет аукциона;7 950 000;Экологический вклад -390 кг CO₂
Академическая;2;37;8;8;Нет аукциона;16 500 000;Документы проверены
Некрасовка;1;17;1;17;Нет аукциона;4 400 000;Реквизиты не проверены
Зябликово;3;64;7;9;Нет аукциона;12 500 000;Реквизиты проверены
Коптево;2;44,5;3;5;Нет аукциона;10 900 000;Реквизиты не проверены
Домодедовская;2;57;17;18;Нет аукциона;17 750 000;Реквизиты не проверены
Рязанский проспект;2;60,1;5;23;Нет аукциона;15 650 000;Реквизиты не проверены
Орехово;2;57,3;5;17;Нет аукциона;12 000 000;Реквизиты не проверены
Проспект Вернадского;1;36,9;12;22;Аукцион;от 10 000 000;Реквизиты проверены
Бульвар Дмитрия Донского;1;34,2;11;12;Нет аукциона;10 200 000;Экологический вклад -912 кг CO₂
Бунинская аллея;1;34;8;17;Нет аукциона;10 150 000;Документы проверены
Братиславская;1;42;7;17;Нет аукциона;10 300 000;Документы проверены
Щукинская;1;31;4;5;Нет аукциона;8 800 000;Реквизиты не проверены
Беляево;1;33,3;1;9;Нет аукциона;9 500 000;Документы проверены
Саларьево;1;33;3;22;Нет аукциона;12 950 000;Экологический вклад -655 кг CO₂
Зябликово;3;64;7;9;Нет аукциона;12 500 000;Реквизиты проверены
Автозаводская;1;31;8;9;Нет аукциона;11 000 000;Экологический вклад -588 кг CO₂
Марьино;1;40,1;3;12;Нет аукциона;7 500 000;Документы проверены
Орехово;3;53,1;3;9;Нет аукциона;13 500 000;Реквизиты проверены
Новогиреево;1;30,1;4;9;Нет аукциона;8 400 000;Реквизиты проверены
Ховрино;2;53,1;12;33;Нет аукциона;13 390 000;Реквизиты не проверены
Рассказовка;1;41,9;2;15;Нет аукциона;9 595 000;Реквизиты не проверены
Красносельская;2;45,6;1;9;Нет аукциона;15 700 000;Экологический вклад -112 кг CO₂
Некрасовка;3;77,5;18;24;Нет аукциона;12 800 000;Реквизиты проверены
Савёловская;1;35,1;3;5;Нет аукциона;9 950 000;Реквизиты проверены
Ясенево;2;44,4;5;9;Нет аукциона;12 300 000;Реквизиты не проверены
Кузьминки;2;46;5;5;Нет аукциона;9 500 000;Экологический вклад -5 кг CO₂
Бульвар Рокоссовского;2;37,2;4;9;Нет аукциона;8 300 000;Реквизиты не проверены
Ростокино;2;39;8;9;Нет аукциона;12 700 000;Экологический вклад -10 кг CO₂
Юго-Западная;2;70,8;8;16;Нет аукциона;22 300 000;Реквизиты проверены
Пятницкое шоссе;2;55;14;17;Нет аукциона;13 500 000;Реквизиты не проверены
Свиблово;2;50;6;9;Нет аукциона;16 249 000;Экологический вклад -8 кг CO₂
